,event_date,event_name,num_flooded,WDF2,WSF2,AWDR,AWND,WGF6,ht,hht,lt,llt,r15_td,rhr_td,td_av,gw_av,r15mx,rhrmx,rd,r3d
34,2016-06-03,Severe Weather - 6/5-2016-06-03,6.0,172.5,21.825,153.455888889,7.85155324074,7.85155324074,2.2165,2.7375,-0.9265,-0.9485,2.31848333333,2.48220833333,0.655630208333,2.53936507937,0.634,1.425,1.87083333333,0.0391666666667
35,2016-06-10,unnamed-2016-06-10,2.0,317.5,22.25,159.94255787,6.48595486111,7.40279166667,1.642,1.8615,-0.869,-1.1135,0.950416666667,1.22455,0.290690625,2.66929275794,0.34,0.466,0.513333333333,0.418333333333
36,2016-07-19,Thunderstorm-2016-07-19,9.0,275.0,28.55,285.150201389,5.22162962963,5.22162962963,1.224,1.4895,-1.1305,-1.4435,1.16716666666,1.34968333333,0.00094375,2.19089623016,0.389,0.78,0.680833333333,0.135833333333
37,2016-07-20,unnamed-2016-07-20,1.0,60.0,14.55,96.472861111,4.90066666667,4.90066666667,1.3925,1.901,-1.296,-1.152,-0.283683333332,-0.283683333332,0.159489583333,2.25921507937,0.005,0.005,0.00416666666667,0.775833333333
38,2016-07-25,Bernie (Training)-2016-07-25,2.0,215.0,18.0,225.066826389,9.75110648148,9.75110648148,1.8255,1.9245,-0.999,-1.2545,,,0.353522916667,2.10329027778,0.0,-1.38396238913e-15,0.0,-2.1987620058e-16
39,2016-07-30,Thunderstorm-2016-07-30,4.0,230.0,17.1,160.722055555,4.57258333333,4.57258333333,1.842,2.0735,-0.737,-0.9235,0.207766666667,0.504341666667,0.65416875,2.08820892857,0.468,1.066,1.35583333333,0.00333333333333
40,2016-07-31,Thunderstorm-2016-07-31,8.0,210.0,36.45,193.024986111,5.8749537037,5.8749537037,1.903,2.016,-0.7795,-1.104,1.76329166667,1.96740833333,0.516864583334,2.39938293651,0.582,1.607,2.88166666667,1.35916666667
41,2016-09-02,HERMINE-2016-09-02,40.0,41.6666666667,31.3166666667,47.4949814815,17.341933642,17.341933642,3.517,4.7055,2.446,1.6025,1.88300833333,1.9026,2.1446,2.47884808201,0.261,0.703,3.31416666667,0.365
42,2016-09-19,HEAVY RAIN-2016-09-19,11.0,280.0,21.0,137.730770834,6.79041203704,6.79041203704,2.4455,2.4455,-0.4525,-1.2895,0.0390166666667,0.0252666666667,0.6664,2.37802222222,0.743,1.617,3.19166666667,0.0025
43,2016-09-20,unnamed-2016-09-20,101.0,90.0,21.37,82.9847944444,11.6519472222,11.6519472222,2.9465,3.576,1.181,1.0695,1.37818333333,1.26681666667,1.52908375,3.9406331746,0.386,1.031,7.21916666667,3.19416666667
44,2016-10-05,Hurricane Matthew-2016-10-05,111.0,75.0,26.2285714286,80.4515694445,12.6683895503,12.6683895503,3.3875,4.703,2.8145,1.165,2.83943333333,2.819675,1.77556755952,4.49424501228,0.518,1.385,10.3891666667,0.135833333333
45,2010-09-15,,0.0,125.0,14.0,119.0,5.35,5.35,1.547,1.9125,-0.584,-0.604,,,0.630327083333,1.43948253968,0.0,-5.41884245808e-16,0.0,0.214166666667
46,2010-09-16,,0.0,210.0,22.9,210.0,12.4,12.4,1.2205,1.452,-0.8625,-1.168,,,0.31799375,1.42428710317,0.0,-5.41884245808e-16,0.0,0.000833333333333
47,2010-09-17,,0.0,210.0,18.55,41.0,10.2,10.2,0.8865,0.8865,-1.1715,-1.1715,,,-0.03335625,1.40507460317,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
48,2010-09-18,,0.0,30.0,17.1,37.0,8.95,8.95,1.63575,1.63575,-0.8365,-0.679,,,0.517577083333,1.3731218254,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
49,2010-09-19,,0.0,25.0,11.1,58.0,4.5,4.5,1.7275,2.0175,-0.5135,-0.451,,,0.729447916666,1.36568075397,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
50,2010-09-20,,0.0,15.0,22.45,29.0,10.2,10.2,1.8965,2.3575,-0.22625,-0.22625,,,1.03458958333,1.35430833333,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
51,2010-09-21,,0.0,135.0,14.1,79.0,7.05,7.05,2.0685,1.975,-0.5265,-0.228,,,0.843558333333,1.31416150794,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
52,2010-09-22,,0.0,220.0,18.0,209.0,9.95,9.95,1.4095,1.435,-0.835,-0.7875,,,0.290825,1.29384940476,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
53,2010-09-23,,0.0,155.0,15.0,205.0,6.8,6.8,1.313,1.313,-1.296,-1.532,,,-0.0658604166667,1.27283035714,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
54,2010-09-24,,0.0,200.0,18.45,221.0,10.75,10.75,1.2815,1.767,-0.9435,-1.3925,,,0.213316666667,1.26380178571,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
55,2010-09-25,,0.0,215.0,18.55,217.0,11.4,11.4,1.0825,1.4175,-1.122,-1.501,,,-0.0528229166667,1.26773115079,0.0,-5.41884245808e-16,0.0,-3.87855257172e-16
56,2010-09-26,,0.0,40.0,18.0,42.0,8.8,8.8,1.98,1.98,-0.638,-1.276,-0.361572916667,-0.2536875,0.378872916667,1.26008650794,0.0675,0.16,0.251666666667,-3.87855257172e-16
57,2010-09-27,,0.0,165.0,15.1,190.0,5.6,5.6,1.765,2.039,-0.2955,-0.7005,1.63441666667,0.803499999999,0.69651875,1.64050813492,0.2775,0.605,1.75583333333,0.251666666667
58,2010-09-28,,0.0,210.0,19.0,192.0,7.95,7.95,1.918,2.0965,-0.35425,-0.35425,1.52621875,1.63835416667,0.734891666666,2.06702976191,0.1775,0.275,0.365,2.0075
59,2010-09-29,,0.0,120.0,21.9,84.0,7.8,7.8,1.491,2.093,-0.25075,-0.25075,0.6996875,0.928375,0.753175,2.1638125,0.2275,0.48375,0.810833333333,2.3725
60,2010-10-02,,0.0,35.0,19.55,42.0,10.6,10.6,2.0505,2.3085,-0.11975,-0.11975,,,1.14026041666,4.17061587302,0.0,-6.08887940069e-16,0.0,8.27666666667
61,2010-10-03,,0.0,20.0,28.0,38.0,17.2,17.2,2.323,3.268,0.318,0.318,0.607354166667,0.555791666667,1.7039375,4.08817876983,0.08875,0.175,0.496666666667,7.46583333333
62,2010-10-05,,0.0,305.0,15.55,310.0,6.25,6.25,2.6445,2.841,0.1915,-0.6205,,,1.27223958334,4.00690099206,0.0,-6.31439345255e-16,0.0,0.763333333333
63,2010-10-06,,0.0,295.0,13.55,252.0,5.0,5.0,2.208,2.5275,-0.7215,-1.0745,,,0.7631125,3.84052896826,0.0,-6.31439345255e-16,0.0,0.763333333333
64,2010-10-07,,0.0,290.0,14.1,265.0,7.15,7.15,2.0635,2.192,-1.332,-1.3485,,,0.408579166667,3.66267876984,0.0,-6.31439345255e-16,0.0,0.266666666667
65,2010-10-08,,0.0,175.0,17.1,4.0,5.9,5.9,1.8045,2.6735,-1.319,-1.4695,,,0.48193125,3.48434980158,0.0,-6.31439345255e-16,0.0,-7.5055702394e-16
