field_1,﻿recid,location,event,eventType,xcoord,ycoord,dt,_date,_time,lon,lat
41,510,2400 BLOCK OF SEWELLS POINT ROAD,Nicole (9/30/2010),Flooded street,12146166.5003,3485154.25,2010-09-30 10:03:14.000,9/30/2010 ,1900-01-01 10:03:00.000,-76.232367,36.872638
42,511,ALDER STREET & DENVER AVENUE,Nicole (9/30/2010),Flooded street,12145214,3484334.4999,2010-09-30 10:03:58.000,9/30/2010 ,1900-01-01 10:03:00.000,-76.235690,36.870450
43,512,TABB STREET & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133846.0001,3477648.74993,2010-09-30 10:05:44.000,9/30/2010 ,1900-01-01 10:05:00.000,-76.275080,36.852835
44,514,1600 BLOCK OF MORRIS AVENUE,Nicole (9/30/2010),Flooded street,12136049.5,3487821.62504,2010-09-30 10:09:12.000,9/30/2010 ,1900-01-01 10:09:00.000,-76.266728,36.880625
45,515,E OCEAN VIEW AVENUE & STURGIS STREET,Nicole (9/30/2010),Flooded street,12145468.9999,3510573.2501,2010-09-30 10:36:11.000,9/30/2010 ,1900-01-01 10:36:00.000,-76.232664,36.942480
46,516,401 MONTICELLO AVENUE,Nicole (9/30/2010),Flooded street,12129761.0001,3476951.75005,2010-09-30 10:38:46.000,9/30/2010 ,1900-01-01 10:38:00.000,-76.289093,36.851184
47,517,E 9TH STREET & MONTICELLO AVENUE,Nicole (9/30/2010),Flooded street,12130260.0001,3479804.74998,2010-09-30 11:36:31.000,9/30/2010 ,1900-01-01 11:36:00.000,-76.287160,36.858986
48,518,MARTONE ROAD & OLEO ROAD,Nicole (9/30/2010),Flooded street,12153592,3498817.24993,2010-09-30 11:43:20.000,9/30/2010 ,1900-01-01 11:43:00.000,-76.205855,36.909662
49,520,900 BLOCK OF BOTETOURT GARDENS,Nicole (9/30/2010),Flooded street,12128495.2874,3480676.82646,2010-09-30 11:52:23.000,9/30/2010 ,1900-01-01 11:52:00.000,-76.293120,36.861494
50,521,810 UNION STREET,Nicole (9/30/2010),Flooded street,12130804.1091,3474570.83769,2010-09-30 11:59:04.000,9/30/2010 ,1900-01-01 11:59:00.000,-76.285720,36.844579
51,523,1600 BLOCK OF MADISON AVENUE,Nicole (9/30/2010),Flooded street,12136797.1523,3477236.44973,2010-09-30 12:25:30.000,9/30/2010 ,1900-01-01 12:25:00.000,-76.265029,36.851511
52,524,900 BLOCK OF MADISON AVENUE,Nicole (9/30/2010),Flooded street,12136606.1513,3477056.58084,2010-09-30 12:30:31.000,9/30/2010 ,1900-01-01 12:30:00.000,-76.265697,36.851030
53,525,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133519.8714,3476715.99998,2010-09-30 12:31:08.000,9/30/2010 ,1900-01-01 12:31:00.000,-76.276269,36.850294
54,526,CHURCH STREET & E BRAMBLETON AVENUE,Nicole (9/30/2010),Flooded street,12132320.4999,3477748.37493,2010-09-30 12:31:42.000,9/30/2010 ,1900-01-01 12:31:00.000,-76.280284,36.853207
55,527,CHAPEL STREET & E BRAMBLETON AVENUE,Nicole (9/30/2010),Flooded street,12132797.9999,3477412.00015,2010-09-30 12:32:34.000,9/30/2010 ,1900-01-01 12:32:00.000,-76.278679,36.852252
56,528,E BRAMBLETON AVENUE & ROSWELL AVENUE,Nicole (9/30/2010),Flooded street,12133142,3477128.24999,2010-09-30 12:32:49.000,9/30/2010 ,1900-01-01 12:32:00.000,-76.277527,36.851451
57,529,E BRAMBLETON AVENUE & LANDING STREET,Nicole (9/30/2010),Flooded street,12132977,3477219.99992,2010-09-30 12:33:08.000,9/30/2010 ,1900-01-01 12:33:00.000,-76.278083,36.851713
58,532,EVELYN T BUTTS AVENUE & AVENUE J,Nicole (9/30/2010),Flooded street,12142561,3499982.74985,2010-09-30 12:53:11.000,9/30/2010 ,1900-01-01 12:53:00.000,-76.243478,36.913592
59,533,BERKLEY AVENUE EX & CAMPOSTELLA ROAD,Nicole (9/30/2010),Flooded street,12138296.5,3466698.62508,2010-09-30 12:58:15.000,9/30/2010 ,1900-01-01 12:58:00.000,-76.260761,36.822478
60,536,800 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133837.9184,3477624.01282,2010-09-30 13:09:37.000,9/30/2010 ,1900-01-01 13:09:00.000,-76.275109,36.852767
61,537,700 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133666.6422,3477092.14985,2010-09-30 13:10:03.000,9/30/2010 ,1900-01-01 13:10:00.000,-76.275737,36.851318
62,538,GRANBY STREET & E WESTMONT AVENUE,Nicole (9/30/2010),Flooded street,12136759.0001,3508511.74999,2010-09-30 13:10:20.000,9/30/2010 ,1900-01-01 13:10:00.000,-76.262627,36.937390
63,539,400 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133196.7198,3475469.48637,2010-09-30 13:11:53.000,9/30/2010 ,1900-01-01 13:11:00.000,-76.277473,36.846893
64,540,500 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133280,3476043.8749,2010-09-30 13:12:16.000,9/30/2010 ,1900-01-01 13:12:00.000,-76.277143,36.848464
65,541,600 BLOCK OF TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133408.5466,3476228.11561,2010-09-30 13:13:08.000,9/30/2010 ,1900-01-01 13:13:00.000,-76.276689,36.848962
66,542,JOHNSTONS ROAD & NORTH GATE DRIVE,Nicole (9/30/2010),Flooded street,12144305.4999,3497907.75011,2010-09-30 13:24:36.000,9/30/2010 ,1900-01-01 13:24:00.000,-76.237683,36.907780
67,543,1800 BLOCK OF E LITTLE CREEK ROAD,Nicole (9/30/2010),Flooded street,12148003.3688,3500928.53832,2010-09-30 13:56:29.000,9/30/2010 ,1900-01-01 13:56:00.000,-76.224790,36.915830
68,544,DEBREE AVENUE & W 29TH STREET,Nicole (9/30/2010),Flooded street,12130055.0001,3485445.75014,2010-09-30 14:13:56.000,9/30/2010 ,1900-01-01 14:13:00.000,-76.287408,36.874489
69,545,3900 BLOCK OF PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156631.0588,3505917.38251,2010-09-30 15:33:17.000,9/30/2010 ,1900-01-01 15:33:00.000,-76.194870,36.928954
70,546,2700 BLOCK OF PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12152502.0001,3506967.87494,2010-09-30 15:34:56.000,9/30/2010 ,1900-01-01 15:34:00.000,-76.208905,36.932114
71,547,9500 BLOCK OF 15TH BAY STREET,Nicole (9/30/2010),Flooded street,12154950.5804,3505802.35645,2010-09-30 15:37:17.000,9/30/2010 ,1900-01-01 15:37:00.000,-76.200627,36.928750
72,548,19TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156459.7084,3505945.72229,2010-09-30 15:43:44.000,9/30/2010 ,1900-01-01 15:43:00.000,-76.195454,36.929043
73,549,20TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156801.9999,3505886.75015,2010-09-30 15:44:43.000,9/30/2010 ,1900-01-01 15:44:00.000,-76.194288,36.928858
74,550,7TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12152337,3507016.49991,2010-09-30 15:45:27.000,9/30/2010 ,1900-01-01 15:45:00.000,-76.209465,36.932259
75,551,8TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12152667.0001,3506919.24998,2010-09-30 15:45:46.000,9/30/2010 ,1900-01-01 15:45:00.000,-76.208345,36.931970
76,552,E LITTLE CREEK ROAD & FORT WORTH AVENUE,Nicole (9/30/2010),Flooded street,12136125.9999,3501252.74995,2010-09-30 15:57:15.000,9/30/2010 ,1900-01-01 15:57:00.000,-76.265380,36.917500
77,555,COLONIAL AVENUE & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12128168.9999,3481426.99987,2010-09-30 16:34:46.000,9/30/2010 ,1900-01-01 16:34:00.000,-76.294175,36.863575
78,556,BLOW STREET & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12127791.0002,3481627.74991,2010-09-30 16:35:38.000,9/30/2010 ,1900-01-01 16:35:00.000,-76.295451,36.864150
79,557,E VIRGINIA BEACH BOULEVARD & MAY AVENUE,Nicole (9/30/2010),Flooded street,12134812.4999,3477979.87493,2010-09-30 16:38:04.000,9/30/2010 ,1900-01-01 16:38:00.000,-76.271751,36.853681
80,558,CECELIA STREET & E OLNEY ROAD,Nicole (9/30/2010),Flooded street,12134482.0001,3476758.00015,2010-09-30 16:39:30.000,9/30/2010 ,1900-01-01 16:39:00.000,-76.272978,36.850348
81,559,E OLNEY ROAD & MALTBY CRESCENT,Nicole (9/30/2010),Flooded street,12135043,3476399.24997,2010-09-30 16:44:52.000,9/30/2010 ,1900-01-01 16:44:00.000,-76.271090,36.849326
82,560,GRANBY STREET & W PRINCESS ANNE ROAD,Nicole (9/30/2010),Flooded street,12130003.0001,3480502.00012,2010-09-30 17:03:35.000,9/30/2010 ,1900-01-01 17:03:00.000,-76.287982,36.860917
83,561,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Nicole (9/30/2010),Flooded street,12136628.5001,3477394.62495,2010-09-30 17:04:15.000,9/30/2010 ,1900-01-01 17:04:00.000,-76.265593,36.851956
84,562,E BRAMBLETON AVENUE & PARK AVENUE,Nicole (9/30/2010),Flooded street,12135220.0001,3475405.24999,2010-09-30 17:05:46.000,9/30/2010 ,1900-01-01 17:05:00.000,-76.270566,36.846585
85,563,LAFAYETTE BOULEVARD & VERDUN AVENUE,Nicole (9/30/2010),Flooded street,12139281,3486128.50011,2010-09-30 17:35:07.000,9/30/2010 ,1900-01-01 17:35:00.000,-76.255820,36.875765
86,564,LAFAYETTE BOULEVARD & LENS AVENUE,Nicole (9/30/2010),Flooded street,12139028.9999,3486199.50001,2010-09-30 17:35:25.000,9/30/2010 ,1900-01-01 17:35:00.000,-76.256676,36.875977
87,565,BIRCH STREET & ROBIN HOOD ROAD,Nicole (9/30/2010),Flooded street,12144125.0001,3486227.99993,2010-09-30 17:48:23.000,9/30/2010 ,1900-01-01 17:48:00.000,-76.239256,36.875721
88,566,5900 BLOCK OF POPLAR HALL DRIVE,Nicole (9/30/2010),Flooded street,12155629.361,3477196.38178,2010-09-30 17:50:58.000,9/30/2010 ,1900-01-01 17:50:00.000,-76.200689,36.850159
89,567,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12134007.9999,3478239.25001,2010-10-01 03:55:34.000,10/1/2010 ,1900-01-01 03:55:00.000,-76.274478,36.854445
90,568,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Nicole (9/30/2010),Flooded street,12133519.8714,3476715.99998,2010-10-01 03:56:31.000,10/1/2010 ,1900-01-01 03:56:00.000,-76.276269,36.850294
91,569,600 BLOCK OF RESERVOIR AVENUE,Nicole (9/30/2010),Flooded street,12134524.257,3475557.25247,2010-10-01 03:57:20.000,10/1/2010 ,1900-01-01 03:57:00.000,-76.272931,36.847048
92,570,9500 BLOCK OF 10TH BAY STREET,Nicole (9/30/2010),Flooded street,12153209.2362,3506322.1305,2010-10-01 04:08:58.000,10/1/2010 ,1900-01-01 04:08:00.000,-76.206540,36.930294
93,571,21ST BAY STREET & PRETTY LAKE AVENUE,Nicole (9/30/2010),Flooded street,12157014.9999,3504950.24996,2010-10-01 04:09:35.000,10/1/2010 ,1900-01-01 04:09:00.000,-76.193638,36.926272
94,572,16TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12155386.0001,3506142.74993,2010-10-01 04:10:08.000,10/1/2010 ,1900-01-01 04:10:00.000,-76.199110,36.929656
95,573,19TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156459.7084,3505945.72229,2010-10-01 04:10:44.000,10/1/2010 ,1900-01-01 04:10:00.000,-76.195454,36.929043
96,574,8500 BLOCK OF GRANBY STREET,Nicole (9/30/2010),Flooded street,12135913.3866,3506489.19062,2010-10-01 07:33:53.000,10/1/2010 ,1900-01-01 07:33:00.000,-76.265683,36.931892
97,575,1224 HANSON AVENUE,Nicole (9/30/2010),Flooded street,12135687.4503,3478800.23116,2010-10-01 08:07:20.000,10/1/2010 ,1900-01-01 08:07:00.000,-76.268695,36.855877
98,577,2500 BLOCK OF WOOLSEY STREET,Nicole (9/30/2010),Flooded street,12147849.9631,3486786.12994,2010-10-01 09:18:43.000,10/1/2010 ,1900-01-01 09:18:00.000,-76.226479,36.877008
99,578,19TH BAY STREET & PLEASANT AVENUE,Nicole (9/30/2010),Flooded street,12156459.7084,3505945.72229,2010-10-04 07:50:37.000,10/4/2010 ,1900-01-01 07:50:00.000,-76.195454,36.929043
100,579,2200 BLOCK OF KIMBALL TERRACE,Nicole (9/30/2010),Flooded street,12137367.5043,3474206.49878,2010-10-04 08:24:00.000,10/4/2010 ,1900-01-01 08:24:00.000,-76.263326,36.843154
101,650,CROMWELL ROAD & LAFAYETTE BOULEVARD,Snow (12/16/2010),Flooded street,12140399.5,3485818.25002,2010-12-16 13:32:35.000,12/16/2010,1900-01-01 13:32:00.000,-76.252023,36.874840
102,651,1122 AZALEA GARDEN ROAD,Snow (12/16/2010),Flooded street,12146328.9999,3479896.00004,2010-12-16 14:01:38.000,12/16/2010,1900-01-01 14:01:00.000,-76.232244,36.858189
103,923,2205 MCKANN AVENUE,Irene (8/27/2011),Flooded street,12139946.4847,3480706.26381,2011-08-24 13:53:09.000,8/24/2011 ,2011-08-24 13:53:09.000,-76.253987,36.860833
104,926,E 21ST STREET & MONTICELLO AVENUE,Irene (8/27/2011),Flooded street,12131101.5001,3482796.49995,2011-08-27 06:08:00.000,8/27/2011 ,2011-08-27 06:08:00.000,-76.284044,36.867147
105,928,E 22ND STREET & MONTICELLO AVENUE,Irene (8/27/2011),Flooded street,12131167.9999,3483071.12491,2011-08-27 06:27:17.000,8/27/2011 ,2011-08-27 06:27:17.000,-76.283795,36.867897
106,929,MONTICELLO AVENUE & E 23RD STREET,Irene (8/27/2011),Flooded street,12131252.5001,3483357.37485,2011-08-27 06:32:02.000,8/27/2011 ,2011-08-27 06:32:02.000,-76.283483,36.868677
